alert_count,machine_entity_count,machine_entity_ratio,device_context_count,device_context_ratio,vm_resource_count,dominant_category_code,max_suspicion_score,max_verdict_score,max_severity_score,unique_entity_types,has_process_entity,has_file_entity,has_machine_entity
10,10,1.0,10,1.0,0,4,1,1,1,4,1,0,1
18,18,1.0,18,1.0,0,1,0,2,2,7,0,0,0
175,175,1.0,175,1.0,0,4,0,0,0,1,0,0,0
5,5,1.0,5,1.0,0,4,1,1,1,4,1,0,1
43,43,1.0,43,1.0,0,3,1,1,1,5,1,0,1
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
32,32,1.0,32,1.0,0,1,0,2,2,8,1,1,1
114,114,1.0,114,1.0,0,1,0,2,2,6,0,1,0
196,196,1.0,196,1.0,0,3,1,1,1,5,1,0,1
91,91,1.0,91,1.0,0,4,0,2,2,9,0,1,0
64,64,1.0,64,1.0,0,2,0,0,0,9,0,1,1
22,22,1.0,22,1.0,0,1,1,2,2,8,1,1,1
6,6,1.0,6,1.0,0,3,1,1,1,5,1,0,1
41,41,1.0,41,1.0,0,1,0,0,0,5,0,0,0
10,10,1.0,10,1.0,0,1,0,0,0,6,0,0,0
18,18,1.0,18,1.0,0,2,0,0,0,3,0,1,0
240,240,1.0,240,1.0,0,4,1,1,1,5,1,0,1
17,17,1.0,17,1.0,0,1,0,2,2,7,0,1,0
23,23,1.0,23,1.0,0,1,0,0,0,8,0,1,0
8,8,1.0,8,1.0,0,1,0,0,0,4,0,0,0
134,134,1.0,134,1.0,0,6,1,2,2,13,1,1,1
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
10,10,1.0,10,1.0,0,4,1,1,1,4,1,0,1
43,43,1.0,43,1.0,1,1,0,2,2,14,0,1,1
20,20,1.0,20,1.0,0,1,0,0,0,7,0,0,1
8,8,1.0,8,1.0,0,5,0,0,0,2,0,1,0
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
28,28,1.0,28,1.0,0,3,1,1,1,7,1,0,1
37,37,1.0,37,1.0,0,4,1,1,1,11,1,1,1
157,157,1.0,157,1.0,0,1,0,2,2,5,0,0,0
4,4,1.0,4,1.0,0,2,0,0,0,4,0,1,1
8,8,1.0,8,1.0,0,3,0,0,0,6,1,1,1
6,6,1.0,6,1.0,0,3,1,1,1,5,1,0,1
47,47,1.0,47,1.0,0,1,1,2,2,12,1,1,1
12,12,1.0,12,1.0,0,1,0,2,2,5,0,0,0
52,52,1.0,52,1.0,0,2,0,0,0,4,0,1,0
75,75,1.0,75,1.0,0,1,1,2,2,9,1,1,1
32,32,1.0,32,1.0,0,1,1,1,1,9,1,0,1
12,12,1.0,12,1.0,0,7,1,1,1,2,0,0,1
33,33,1.0,33,1.0,0,3,1,1,1,7,1,1,1
33,33,1.0,33,1.0,0,1,0,2,2,5,0,0,0
17,17,1.0,17,1.0,0,4,1,1,1,5,1,0,1
126,126,1.0,126,1.0,0,1,0,2,2,6,0,1,0
96,96,1.0,96,1.0,0,1,1,2,2,12,1,1,1
15,15,1.0,15,1.0,0,4,1,1,1,4,1,0,1
52,52,1.0,52,1.0,0,1,0,2,2,9,0,1,0
69,69,1.0,69,1.0,0,1,1,2,2,10,1,0,1
50,50,1.0,50,1.0,0,2,1,1,1,5,1,1,1
19,19,1.0,19,1.0,0,1,0,2,2,11,1,1,1
12,12,1.0,12,1.0,0,1,0,0,0,4,0,0,0
3,3,1.0,3,1.0,0,3,0,0,0,3,0,0,0
312,312,1.0,312,1.0,0,2,0,0,0,4,0,1,0
60,60,1.0,60,1.0,0,1,0,2,2,7,0,1,1
29,29,1.0,29,1.0,0,1,0,2,2,8,0,1,1
20,20,1.0,20,1.0,0,1,1,1,1,5,0,0,0
72,72,1.0,72,1.0,1,4,1,1,1,10,1,0,1
377,377,1.0,377,1.0,0,6,0,0,0,5,0,0,0
5,5,1.0,5,1.0,0,3,0,0,0,4,1,1,1
42,42,1.0,42,1.0,0,1,1,1,1,10,1,1,1
6,6,1.0,6,1.0,0,1,0,0,0,3,0,0,0
4,4,1.0,4,1.0,0,2,0,0,0,4,0,1,1
4,4,1.0,4,1.0,0,1,0,0,0,4,0,0,0
21,21,1.0,21,1.0,0,4,1,1,1,5,1,0,1
6,6,1.0,6,1.0,0,1,0,0,0,5,0,0,0
456,456,1.0,456,1.0,0,1,0,0,0,1,0,0,1
43,43,1.0,43,1.0,0,3,0,2,2,7,0,0,0
6,6,1.0,6,1.0,0,3,1,1,1,5,1,0,1
11,11,1.0,11,1.0,0,1,0,2,2,6,0,1,0
44,44,1.0,44,1.0,0,1,0,2,2,7,0,0,0
11,11,1.0,11,1.0,0,3,1,1,1,7,1,0,1
51,51,1.0,51,1.0,0,1,0,0,0,6,0,0,0
